X	sgRNAsgTFAP2C_23Kb_1	sgRNAsgTFAP2C_23Kb_2	sgRNAsgTFAP2C_23Kb_3	sh2769_ER_48h	sh681_ER_48h	shTFAP2C_2	shTFAP2C_3
MAT1A	-1.05769527826468	-3.6826288523268	-3.49394328876869	-0.426104560282989	-4.5368637868855	-6.30239104577384	-3.6529768016709
ENSG00000283342	-3.56407575731353	-2.55908447051527	-3.91235947828398	-2.34793484936746	1.53681164700479	-5.62715161551126	-4.14327972494446
LINC01425	-0.678034095823486	-0.231862829149767	-0.813595749434215	0.620822062168498	2.35293329575766	-5.54526577011087	0.607215557103688
PLAAT2	-1.45215379660547	-1.68031672776196	-1.31724172224924	-0.843891956618133	-0.272007049821105	-5.51386276465132	-2.46906894061358
GJB5	-0.680513669014121	-1.75596689523554	-0.0813132190736602	-0.120165703454828	-1.44398969755661	-5.33168432842702	-0.510840252325414
LOC100130548	1.12447433851442	-1.63198644029703	1.5837140623578	0.255017521363845	-1.09543215441973	-5.30490136881854	-3.28158249360639
CACNA2D4	-2.6289853755219	-1.32036646810558	-0.368064997536193	0.0597118341869663	0.839773665130999	-5.28429476033071	-2.14701321867246
CLCA2	-3.01362336065792	-2.9719485607137	-2.33398911582615	0.583711127270234	-0.359476243906028	-5.0537981862289	-3.41774035743711
ENSG00000260597	-0.45875047990324	0.326382601777643	1.01162629295328	1.26915971215747	2.17244486383764	-4.85255563300576	0.888940786524949
ENSG00000232124	-1.8448626880359	-1.70885170922574	-0.741880584789754	-0.575233183177542	0.260851277956256	-4.70618473895392	-4.04968327085076
DANT2	-1.38745935334524	-0.804162421319986	0.0534219948196797	0.26253649567825	0.116974580076807	-4.67787076465568	-0.299884384121797
SYN3	-1.31881738779163	-0.250999563272489	-1.13401612556374	1.67730958392283	2.45114221678956	-4.66898385216164	-1.03813167219742
ENSG00000272701	-0.799593675426459	0.405866901297276	-0.866219512780252	-0.273641710081367	-0.0996313020921102	-4.62170044819144	0.260043745820486
SLC18A2	0.721407354260523	-0.148285428367769	-0.00479906914389911	-0.486596114804868	0.0178091131225102	-4.49708781806581	-4.73947356456933
ASS1	-2.20138283922961	-2.02835199106496	-1.45067232094425	-0.300357249169176	-0.52183599243848	-4.41932458430945	-3.33242392127782
BAALC	-0.956062939434637	-0.23511089618913	-0.970812084571904	1.19474034613121	1.64891719074501	-4.29910705108497	-4.2834816771845
TM4SF18	-0.753859220225651	-1.81143783115898	0.115092376545027	0.629725146693771	2.11735409473768	-4.1212144198386	-2.14947789851209
ASNSP1	-2.98647679051847	-1.95933078452425	-1.36061960227268	0.682291310685184	-0.662440420902971	-4.09220520520986	-2.43070983218212
SLC7A11	-1.06350691314369	-0.865837384605248	-0.721877761928437	-0.910902590530148	-1.10168936042635	-3.95553885489174	-1.83712091358969
ENSG00000272281	-2.89931765145935	-4.31187784829009	-2.82861727627201	-0.831609763280759	0.335422524779229	-3.94629537424334	-3.35820945236878
HAAO	-1.49848652267417	-2.52174898369312	-1.40291325483588	-1.24539394554708	-1.33157511206371	-3.91412986305847	-1.47872868480727
GABRP	-4.69067686868946	-4.52871071044754	-3.90017632899235	1.32680548999244	0.855298258834205	-3.90982616223916	-2.69146257210905
CYS1	-1.48823991383415	-2.55863739570585	-1.04492442353444	-0.0282972972132871	-1.62657675618607	-3.90233408058581	-2.72898766814811
CHAC1	-1.82784341258375	-1.99628712170567	-0.459968768046002	0.114765435987905	0.336468526178442	-3.8489662969915	-1.77495579693566
MAG	-2.26724875177297	-2.29165590253144	-1.72039885733719	0.0371818598398336	-2.24914038694987	-3.67877758658779	-5.89760877824661
KIAA2012-AS1	-1.88439391825322	-1.2906461073565	-0.620115328575098	0.568831682688214	2.39920573337313	-3.66458257447603	0
BCAT1	-1.25211857835677	-0.941702083184679	-0.398646765527088	0.478425512217561	0.358398441587558	-3.65754889200333	-4.72781609623644
INHBE	-1.9983512158666	-1.97570138445101	-0.0410533714046812	-1.65844187114057	-2.06999293668502	-3.6322866103569	-1.95154684286689
AKNAD1	-0.760347142957845	-0.518454382964856	-0.507301337539902	-1.27860709483808	-1.06572368972891	-3.62994484436634	-0.76458820039986
SV2B	-1.27756758795212	-0.781104607386826	-0.694825704653466	1.70006388026018	0.99280558596439	-3.59967081321275	0.11754980116855
ASNS	-2.02119346988832	-1.8951079509326	-1.33641103287512	-0.594408687514526	-0.0697640622577535	-3.59174955144176	-1.98322416773673
KLK5	-2.90208654851006	-2.06970176903934	-2.36339311863503	-1.01483072996036	-0.86460403916478	-3.58123411960042	-2.97355082496036
FFAR2	-0.947563234917216	-1.01423708074187	-1.02986537055106	0.350752106041656	0.215025547574823	-3.5668379906274	-4.1345532742851
BEST1	-1.30339875888386	-0.804081053252588	-0.6313528508766	-0.220617898698063	0.5979353634411	-3.53620127216516	-2.78672221718836
GRAMD2A	-0.269345308162972	-0.216446555296586	-0.408480745502313	0.771972167905121	0.500713435996608	-3.52806140505944	-2.53272985337352
LOC100505664	-0.523426770219735	-0.520293981857836	-0.565749112035613	0.0404005790242647	-1.21582632935755	-3.51318448983343	-3.43990432668408
GDPD2	0.349980677986593	-0.419092560777896	0.00872453195121769	1.05172922065038	2.34572045373121	-3.49851219348464	-2.66558052894865
ENSG00000235584	-2.79844888717257	-1.94165652398837	-1.43796410164764	1.91141137033351	4.15532866973894	-3.48434430676992	-0.779123780549922
MYOZ1	-6.98621157728102	-3.9999670198985	-1.96097013315495	0.50441898175249	0.313947917535017	-3.47216573650636	-0.992671491689402
UGT3A2	-0.616904760093854	-0.010900619855236	-1.36937528430507	0.759629082000625	1.42032455879112	-3.47210514854317	-1.83766780805432
ADM2	-1.99441196421299	-1.51306647111402	-0.867748726842637	0.268984840257682	0.595740951312678	-3.45373548231475	-2.20719727806855
IRF8	-6.40591557480375	-4.69708674031848	-3.20712385055184	-1.5127687962928	-0.707549576289756	-3.44620693663117	2.40606899894501
ENTPD1	-0.85862965798292	-1.27095423773864	-1.82504335874121	-0.480002011636608	-0.425311462446899	-3.39720632063694	-3.34222066250484
SUSD2	-2.05767035052653	-2.25724552335978	-1.77083751456965	-0.125990291625271	0.0588182884011184	-3.30063962453511	-2.63031745113313
ITGA2B	-1.12270559328698	-1.07803643664732	-0.678393772931462	-0.665585154729209	-1.52960474429462	-3.27701016045702	-1.81002421342623
NDUFA4L2	-0.967287101496509	-0.778238940825518	-1.59437410928811	-0.133475599107573	-0.283188066694817	-3.2757682813762	-1.50049393068237
SLC7A5	-0.75704789862162	-0.467040035533982	-0.365906535817744	-1.21872425652222	-1.28216830360248	-3.23424508431605	-1.44865645624807
ENSG00000230500	-0.474894926103493	-0.799696622863601	-1.10282902355616	2.49142717205836	-0.799427776904649	-3.19350722215212	-1.75720783382025
ENSG00000235205	-2.01049943674931	-2.00922426447874	-1.40858466462767	-1.24433733601222	0.764604025841398	-3.17291105670771	-1.6198584401171
TARP	-1.53857861848686	-0.10947579264086	-2.66483793188597	-3.59075958651664	1.68592597850295	-3.14780550166686	-1.68935606539873
KCNE4	0.279188530367771	0.233494429858696	0.419088628067305	1.1369294695362	-0.669709408276091	-3.11026193142054	-1.65552889527491
SLC7A7	-0.690461062244143	-1.53505146591075	-0.765511753942658	-0.241629325088549	-0.694081412660247	-3.08763440773616	-2.10514749715722
MAOB	-0.342804197394411	-0.359279146427928	-0.252544882053792	1.65773224470039	0.0926032575828326	-2.99564579173256	-1.94004744869179
TP63	-4.83344041359106	-4.17901083137196	-1.9087283502460901	0.393069690426335	-0.301132001198329	-2.96715720032556	-3.00934336383142
ENSG00000244471	-2.70768720980106	-2.0010263456971	-1.26039133724879	0.80497253989551	0	-2.94695137110904	-2.01839348804694
ACTG2	0.451557284797422	0.739037124664379	0.430143055561558	-0.286600545623988	0.169319543814078	-2.92345800272437	-3.01663788676972
ULBP1	-1.47399410562923	-1.54768959708667	-1.04368141448756	0.321322431044857	-0.0183883508948974	-2.90211797507648	-2.02696854380279
ABCA12	-1.65548345873168	-1.48998719621254	-0.728637882238122	0.029936895388393	-0.358462825477404	-2.86753199005741	-0.671863497824883
TOGARAM2	2.084708979035	2.18364711525979	0.857242036873921	1.46106469037448	2.68248646197104	-2.82606413732833	-1.47680792619789
PEX5L	-1.48988349464722	-1.40717986394492	-2.61846324639682	-0.412066410308478	-1.55448320256203	-2.8113899658851502	-1.83528649434653
PADI2	-1.16431302514154	-0.967839568648363	-0.653086048368399	-0.188309091032254	-0.0378093753902808	-2.80784540390112	-1.8587601953393
ENSG00000253174	0	0	0	-0.416080231699171	-1.83432181033836	-2.80049813245007	0
CDH5	0.0930495532808269	0.113306898949346	-0.882832114102131	7.0843997579507	4.60088956326999	-2.79869250894274	-0.238308756735625
MT2A	-2.01199535558646	-1.9492086756	-1.62463374535362	-0.160150886056802	-0.640864235395556	-2.78818825382628	-1.89142251001565
TSPEAR	-1.39393157812876	-1.34075681007206	-2.75096831518438	0.654199599156907	-0.364968023692186	-2.78539759720531	-1.58436066430088
FSCB	-1.23379126364189	-3.19951276043544	0.0173172907047432	6.53832931345113	2.96072797908177	-2.78376226638058	-1.47408016521652
IL20	-1.92817468731975	-1.42835554025003	-0.700173820019876	-2.47360627731223	-1.5436062543276	-2.76849242936285	0.860366817317338
ENSG00000231187	0.0810483432047195	-0.277174236023494	-0.23527156427902	0.414164367802128	0.624794125864835	-2.72437575673108	-0.5797238385613
FCGRT	-1.06957012350248	-1.00849147382307	-0.79450527207623	0.313802423259038	0.0984700972814672	-2.70355576507586	-1.09627346324284
CASQ2	-0.247305522100817	0.182016831375001	0.249191839617514	1.13950868757428	-0.472989231446398	-2.69155034227107	-1.69541217227412
COL2A1	0.231506989029318	-0.267357081884309	0.0844422869096547	0.782491759617071	1.76457491163857	-2.68893723401346	-1.01868518846281
ENSG00000280587	-0.338036426220556	-0.0943880445900478	0.207590631524688	-0.527941407594895	0.639075007584407	-2.66942576868554	-1.94748288433473
AZGP1P1	-4.80428093128846	-4.39139405351966	-2.38038568018985	-1.2799840175372	0.274282243018398	-2.66801859434068	-2.75573895951262
SLC25A48	-1.858142492093	-0.729740452018969	-0.284401119627346	-2.27766718698333	-2.80910462294542	-2.66668332368683	-0.652940154117476
PHGDH	-1.52902994762661	-1.56261591701726	-1.18258431909126	-0.0361792589982606	-0.523154784864245	-2.62220733410485	-1.10423993386253
FOXI1	-3.92423888246205	-3.30755089206389	-2.31321885537219	-0.115233692506367	-0.209015026263545	-2.6217701374722	-3.42629066121957
ENSG00000223804	-2.98154582048668	-2.37733669652569	-1.20695158092056	-0.820784822543103	-0.64966163838565	-2.61772766205212	1.70937656810244
TFAP2C	-0.665208675246616	-0.742101712270726	-0.679532065979038	-0.175450729204649	-0.426979128387086	-2.60320955510573	-1.95727795362327
OR2B6	-1.06456357588137	-1.11567912035503	-0.465838148734297	0.407990981672547	0.429945569799314	-2.55403283843843	-1.85051917513972
HHIPL2	-1.26756470307267	-1.24015375044902	-0.582965690232119	-0.603069698812518	-0.380157586994801	-2.55068497579293	-2.09800203165291
